PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2024-03-22,-0.004362033,-0.002452602,-0.004335699,-0.001844816,-0.005236827,0.001834755,0.004549831,0.000135160
2024-03-25,-0.003804678,-0.004307630,-0.002617152,-0.006448690,-0.006040691,-0.001272168,-0.002396166,0.000405730
2024-03-26,0.002677304,0.002866236,0.000585698,0.000120297,0.003626135,0.002335034,-0.000075354,0.000135180
2024-03-27,0.008056635,0.005977739,0.007584063,0.010815545,0.011118140,0.001066086,0.003852784,0.000135210
2024-03-28,0.009564739,-0.003107827,0.000998218,-0.000946552,-0.001963669,-0.004814919,0.000126185,0.000544370
2024-04-01,0.006018676,-0.003391803,-0.001491228,-0.002816358,-0.003077987,-0.001476712,-0.009308498,0.000133910
2024-04-02,0.005238593,-0.006840258,-0.004570317,-0.005635595,0.004573774,-0.002377113,-0.000940546,0.000134680
2024-04-03,-0.006893561,0.000000000,0.002638000,-0.005317000,0.001942621,-0.000412602,0.001150639,0.000134660
2024-04-04,0.001573487,0.000439332,-0.002282100,-0.012102675,-0.004859213,0.000147419,0.002973024,0.000134730
2024-04-05,0.005231706,0.000108096,0.008425444,0.018028580,0.007848450,0.004211131,-0.002481225,0.000134030
2024-04-08,-0.008068436,0.003323583,0.001692831,-0.001581753,-0.000581259,0.004569226,-0.001462058,0.000403260
2024-04-09,0.003279257,-0.000215452,0.003895873,0.002024878,0.002794073,-0.002387458,0.004031300,0.000135970
2024-04-10,0.004711204,-0.006720856,-0.005786869,-0.005565891,-0.005906800,-0.001940607,-0.008712039,0.000134610
2024-04-11,-0.000097222,0.001701753,-0.004323773,0.002799070,-0.000473550,-0.001286960,-0.001585770,0.000133990
2024-04-12,-0.005968542,-0.006511175,-0.008187851,-0.010220751,-0.009948160,-0.000955076,0.005042338,0.000134610
2024-04-15,-0.011783030,-0.004544092,-0.004740163,-0.006312294,-0.005636940,0.000717727,-0.006054721,0.000404850
2024-04-16,-0.013339729,-0.007398181,-0.002615708,0.002872483,0.002311328,-0.006641564,-0.000191560,0.000134720
